Job Class,Percentage
Management,6.1,https://www.glassdoor.com/blog/5-steps-manager/
Business and Financial operations,5,https://www.discoverdatascience.org/career-information/business-analyst/
Computer and Mathematical,2.7, https://www.yourfreecareertest.com/mathematician/
Architecture and Engineering,1.7,https://learn.org/articles/Architect_5_Steps_to_Becoming_an_Architect.html
"Life, Physical and Social Science",0.9,https://www.learnhowtobecome.org/psychologist/clinical-psychologist/
Community and Social Service,1.6,https://www.learnhowtobecome.org/social-worker/
Legal,0.8,https://www.criminaljusticedegreeschools.com/criminal-justice-careers/lawyer/
"Education, training and library",6.1,https://zety.com/blog/how-to-become-a-teacher
"Arts, design, entertainment, sports and media",1.7,https://www.youtube.com/watch?v=wDvz9ZdhP5s
Healthcare practioners and technical,5.5,https://apps.il-work-net.com/cis/clusters/OccupationDetails/100559?parentId=110800&section=preparation&sectionTitle=Preparation
Healthcare support,2.8,https://learn.org/articles/Geriatric_Nursing_How_to_Become_a_Geriatric_Nurse_in_5_Steps.html
Protective service,2.3,https://www.criminaljusticedegreeschools.com/criminal-justice-resources/police-departments-by-metro-area/new-york-city-police-department-officer-requirements/
Food preparation and serving,8.3,https://www.learnhowtobecome.org/chef/Synonym
Building and grounds cleaning and maintenance,3.7,https://work.chron.com/janitor-qualifications-5221.html
Personal care and service,4,https://massagetherapylicense.org/articles/become-a-massage-therapist.html
Sales,10.2,https://blog.hubspot.com/sales/habits-to-become-a-more-effective-salesperson
Office and administrative support,15.1,https://en.wikipedia.org/wiki/Salaryman
"Farming, fishing and forestry",0.6,https://study.com/articles/Become_a_Commercial_Fisherman_Step-by-Step_Career_Guide.html
Construction and extraction,4.3,https://work.chron.com/training-needed-become-construction-worker-15831.html
"Installation, maintenance and repair",3.8,https://www.hvacclasses.org/blog/how-to-become-hvac-technician
Production,6.1.https://study.com/articles/How_to_Become_a_Production_Line_Worker.html
Transportation and material moving,6.5,https://study.com/articles/Taxi_Driver_Job_Description_and_Requirements_for_Starting_a_Career_as_a_Taxi_Driver.html
Total,99.8
